Metadata_matrix,Metadata_id,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n,n_per_experiment,fraction per sector in %
HEM,E1,CP17,5,3,0.2608329157299404,0.1631502482435366,0.29374073536916223,0.12777430389342082,0.28242871402127034,0.11017065627984335,1.4228229728701176,0.14167246212817786,26,118,0.22033898305084745
HEM,E1,CP17,5,4,-0.21158246468706074,0.12725758673018708,0.11369580121680786,0.14908318529988518,0.09092881105606056,0.07839203515919083,-0.7634607077833496,0.10717951251125896,28,118,0.23728813559322035
HEM,E1,CP17,50,1,0.2483089102339313,0.18813394721694374,-0.3411148144831873,0.17365391703143365,-0.9226575275376696,0.16067203807830624,0.11082906838050169,0.12167072285686392,22,101,0.21782178217821782
HEM,E1,CP17,50,2,0.05383320340953652,0.15453559114422782,-0.549823493866248,0.11702195361374351,1.354339843036023,0.11487308641006953,0.31058080149936473,0.12292172589066266,30,101,0.297029702970297
HEM,E1,CP17,50,3,0.21249873372813122,0.18106970734654593,-0.51246253511903,0.09859490546621519,0.2881715983511046,0.12916291503121077,1.3596135565271696,0.15140077708154825,24,101,0.2376237623762376
HEM,E1,CP17,50,4,0.10068232265998726,0.1775267800779789,-0.48745341842767936,0.12752500671145126,0.07334495757535546,0.11269069805926728,-1.0119348054344717,0.1516334012143362,25,101,0.24752475247524752
HEM,E2,CP17,5,1,0.694885085168573,0.22725998681459508,0.01566362385692099,0.12083234281616392,-1.194599148959864,0.1680129717778692,-0.20440527899063468,0.14474203326328608,24,76,0.3157894736842105
HEM,E2,CP17,5,2,0.42101463733513966,0.4595644480344784,-0.05343844445800974,0.23385662593239978,1.4348480998920474,0.3212737438300498,-0.11613250934509793,0.2808630022266343,10,76,0.13157894736842105
HEM,E2,CP17,5,3,0.37183363221737226,0.25292203171083744,0.1607171307444133,0.15107099294768836,0.32966317915473364,0.15429002147338658,1.4232728197069364,0.22951436087783247,21,76,0.27631578947368424
HEM,E2,CP17,5,4,0.36053091181509944,0.2675884014653626,0.2728273831242736,0.1579243795957438,0.14123223093192958,0.1400676401254313,-1.8927817673993823,0.2648574374196066,21,76,0.27631578947368424
HEM,E2,CP17,50,1,0.6307631512617455,0.32810830627927184,-0.10512969650663448,0.3122426216510758,-1.0962253544069076,0.23100563936075375,-0.25754792499723067,0.2963272993466223,11,42,0.2619047619047619
HEM,E2,CP17,50,2,0.3725770483261614,0.3860525294293721,0.4701278550770832,0.2593121089217879,1.2907793677599875,0.23252533102767944,-0.38293013256868325,0.472733493977971,7,42,0.16666666666666666
HEM,E2,CP17,50,3,0.05157445218251469,0.29602544467293374,-0.34924240300365256,0.25361577453662537,0.010850463872042077,0.11007131836573823,1.1361761460335977,0.29839139386682406,18,42,0.42857142857142855
HEM,E2,CP17,50,4,1.1087922191567772,0.48865098539079926,0.6075772309829598,0.338960757073956,-0.3396203600163095,0.26627021343545915,-2.575011338558396,0.5236784632416751,6,42,0.14285714285714285
HEM,E3,CP17,5,1,0.2637421465828419,0.301044251596849,-0.13283354874739478,0.22235835555984426,-0.887637612422738,0.24943028964495198,-0.14811705046023774,0.21577626184189183,11,81,0.13580246913580246
HEM,E3,CP17,5,2,0.3333656284450241,0.15102463627769724,-0.0692191812875425,0.1324535858707788,2.08002039580291,0.13199799389474998,0.15903822170415144,0.08647092321824502,42,81,0.5185185185185185
HEM,E3,CP17,5,3,-0.02162432672529222,0.23696358053506902,-0.3037344027240333,0.16655565964168006,0.7353264874764787,0.22412404891676133,0.7830752833355017,0.1477101371667065,17,81,0.20987654320987653
HEM,E3,CP17,5,4,-0.36354806705053894,0.1852701648291011,-0.34090798321670296,0.27265888469788563,0.6874548352313039,0.15330213591362796,-0.932984828231721,0.13797564797016493,11,81,0.13580246913580246
HEM,E3,CP17,50,1,-0.003465220509916794,0.2529699214850828,-0.10392229174799596,0.1739774929544705,-0.746238969638605,0.23623331385453453,-0.3187291907109586,0.08045494778680692,14,67,0.208955223880597
HEM,E3,CP17,50,2,-0.4666425112186887,0.23054762477131954,-0.2403480909987529,0.14681735380831143,1.4233572885727976,0.18369821346606743,-0.23418499045138652,0.12437733455119426,14,67,0.208955223880597
HEM,E3,CP17,50,3,-0.522841505070549,0.12701545347190846,0.0029987241309892064,0.1561062368886415,0.5423491142093246,0.08316787396082563,0.5471154267784488,0.0940026101195454,18,67,0.26865671641791045
HEM,E3,CP17,50,4,-0.07145633903417488,0.21562572267487817,-0.42235758064834306,0.1469905996799569,0.4477554904223344,0.11287601706218148,-1.1977733509382993,0.15543855958938033,21,67,0.31343283582089554
HEM,E4,CP17,5,1,0.15797518202503283,0.11013488535487,-0.6586087796968686,0.12391299401634179,-0.9041403372047719,0.094633790778376,-0.14382977124621552,0.07058213179330858,64,198,0.32323232323232326
